"Date and time","Volumetric humidity(S1)",temperature(S1),"Dew point(S1)","Humidity deficit(S1)","Relative humidity(S1)","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-08-11T17:50:00+0900,,,,,,47.9,3.8,3.9,15.4,0,8.8,13.4
2024-08-11T17:40:00+0900,,,,,,45.3,3.8,3.9,15.5,0,8.8,13.4
2024-08-11T17:30:00+0900,,,,,,46.6,3.8,3.9,15.4,0,8.9,13.5
2024-08-11T17:20:00+0900,,,,,,46.5,3.8,3.9,15.4,0,8.9,13.5
2024-08-11T17:10:00+0900,,,,,,49,3.7,3.8,15.5,0,9,13.5
2024-08-11T17:00:00+0900,,,,,,48.8,3.8,3.8,15.4,0,9.1,13.5
2024-08-11T16:50:00+0900,,,,,,46.8,3.8,3.9,15.4,0,9.1,13.6
2024-08-11T16:40:00+0900,,,,,,50.1,3.8,3.8,15.4,0,9.1,13.6
2024-08-11T16:30:00+0900,,,,,,46.7,3.8,3.9,15.4,0,9.2,13.6
2024-08-11T16:20:00+0900,,,,,,46.6,3.8,3.9,15.4,0,9.3,13.6
2024-08-11T16:10:00+0900,,,,,,50.3,3.8,3.8,15.4,0,9.3,13.6
2024-08-11T16:00:00+0900,,,,,,48.8,3.8,3.8,15.4,0,9.4,13.7
2024-08-11T15:50:00+0900,,,,,,52.8,3.8,3.7,15.4,0,9.4,13.7
2024-08-11T15:40:00+0900,,,,,,49.4,3.8,3.8,15.4,0,9.4,13.7
2024-08-11T15:30:00+0900,,,,,,46.7,3.8,3.9,15.4,0,9.5,13.7
2024-08-11T15:20:00+0900,,,,,,46.7,3.8,3.9,15.5,0,9.6,13.8
2024-08-11T15:10:00+0900,,,,,,51.6,3.8,3.7,15.4,0,9.6,13.8
2024-08-11T15:00:00+0900,,,,,,51.5,3.8,3.7,15.5,0,9.8,13.8
2024-08-11T14:50:00+0900,,,,,,49.3,3.9,3.8,15.3,0,9.8,13.8
2024-08-11T14:40:00+0900,,,,,,49.5,3.8,3.8,15.3,0,9.9,13.8
2024-08-11T14:30:00+0900,,,,,,51.4,3.8,3.7,15.3,0,9.9,13.8
2024-08-11T14:20:00+0900,,,,,,49,3.8,3.8,15.3,0,10,13.9
2024-08-11T14:10:00+0900,,,,,,48.8,3.8,3.8,15.4,0,10.1,13.9
2024-08-11T14:00:00+0900,,,,,,52.2,3.9,3.7,15.3,0,10.1,13.9
2024-08-11T13:50:00+0900,,,,,,48.8,3.8,3.8,15.3,0,10.1,13.9
2024-08-11T13:40:00+0900,,,,,,52.1,3.9,3.7,15.3,0,10.2,13.9
2024-08-11T13:30:00+0900,,,,,,53.2,3.9,3.7,15.2,0,10.3,13.9
2024-08-11T13:20:00+0900,,,,,,54.7,3.9,3.6,15.3,0,10.3,14
2024-08-11T13:10:00+0900,,,,,,54.2,3.9,3.6,15.2,0,10.4,14
2024-08-11T13:00:00+0900,,,,,,51.8,3.9,3.7,15.2,0,10.4,14
2024-08-11T12:50:00+0900,,,,,,54.4,3.8,3.6,15.4,0,10.5,14
2024-08-11T12:40:00+0900,,,,,,54.4,3.9,3.6,15.2,0,10.6,14.1
2024-08-11T12:30:00+0900,,,,,,56.7,3.9,3.6,15.2,0,10.6,14.1
2024-08-11T12:20:00+0900,,,,,,57.7,3.9,3.6,15.2,0,10.8,14.1
2024-08-11T12:10:00+0900,,,,,,49.1,3.8,3.8,15.3,0,10.8,14.1
2024-08-11T12:00:00+0900,,,,,,46.8,3.9,3.9,15.2,0,10.8,14.1
2024-08-11T11:50:00+0900,,,,,,49.1,3.9,3.8,15.3,0,10.9,14.1
2024-08-11T11:40:00+0900,,,,,,50.4,3.9,3.7,15.2,0,11,14.1
2024-08-11T11:30:00+0900,,,,,,53.3,3.9,3.7,15.3,0,11.1,14.1
2024-08-11T11:20:00+0900,,,,,,54.6,3.9,3.6,15.2,0,11.1,14.2
2024-08-11T11:10:00+0900,,,,,,55.2,3.9,3.6,15.2,0,11.3,14.2
2024-08-11T11:00:00+0900,,,,,,57.8,3.9,3.5,15.2,0,11.4,14.2
2024-08-11T10:50:00+0900,,,,,,57.6,3.9,3.5,15.2,0,11.4,14.2
2024-08-11T10:40:00+0900,,,,,,60.6,3.9,3.4,15.2,0,11.6,14.2
2024-08-11T10:30:00+0900,,,,,,62.2,4,3.4,15.1,0,11.6,14.2
2024-08-11T10:20:00+0900,,,,,,60.9,3.9,3.4,15.2,0,11.8,14.3
2024-08-11T10:10:00+0900,,,,,,64.3,4,3.3,15.1,0,11.8,14.3
2024-08-11T10:00:00+0900,,,,,,64.3,4,3.3,15.1,0,11.9,14.3
2024-08-11T09:50:00+0900,,,,,,65.5,3.9,3.2,15.3,0,12.1,14.3
2024-08-11T09:40:00+0900,,,,,,65.5,3.9,3.2,15.2,0,12.2,14.3
2024-08-11T09:30:00+0900,,,,,,65.5,3.9,3.1,15.2,0,12.3,14.3
2024-08-11T09:20:00+0900,,,,,,65.5,3.9,3,15.2,0,12.4,14.3
2024-08-11T09:10:00+0900,,,,,,65.5,4,2.9,15.1,0,12.5,14.3
2024-08-11T09:00:00+0900,,,,,,65.5,3.9,3,15.3,0,12.6,14.3
2024-08-11T08:50:00+0900,,,,,,65.5,3.9,2.8,15.3,0,12.8,14.3
2024-08-11T08:40:00+0900,,,,,,65.5,4,2.8,15.2,0,12.9,14.3
2024-08-11T08:30:00+0900,,,,,,65.5,3.9,2.7,15.2,0,13.1,14.3
2024-08-11T08:20:00+0900,,,,,,65.5,3.9,2.6,15.2,0,13.2,14.2
2024-08-11T08:10:00+0900,,,,,,65.5,4,2.7,15.2,0,13.3,14.2
2024-08-11T08:00:00+0900,,,,,,65.5,3.9,2.6,15.3,0,13.5,14.2
2024-08-11T07:50:00+0900,,,,,,65.5,4,2.5,15.2,0,13.6,14.2
2024-08-11T07:40:00+0900,,,,,,65.5,4,2.4,15.2,0,13.8,14.2
2024-08-11T07:30:00+0900,,,,,,65.5,3.9,2.5,15.3,0,13.9,14.1
2024-08-11T07:20:00+0900,,,,,,65.5,4,2.3,15.2,0,14.1,14.1
2024-08-11T07:10:00+0900,,,,,,65.5,3.9,2.3,15.3,0,14.3,14.1
2024-08-11T07:00:00+0900,,,,,,65.5,4,2.4,15.2,0,14.4,14.1
2024-08-11T06:50:00+0900,,,,,,65.5,4,2.3,15.2,0,14.5,14.1
2024-08-11T06:40:00+0900,,,,,,65.5,3.9,2.3,15.3,0,14.7,14.1
2024-08-11T06:30:00+0900,,,,,,65.5,4,2.2,15.2,0,14.8,14
2024-08-11T06:20:00+0900,,,,,,65.5,3.9,2.3,15.3,2,14.9,14
2024-08-11T06:10:00+0900,,,,,,65.5,3.9,2.2,15.3,12,15.1,14
2024-08-11T06:00:00+0900,,,,,,65.5,3.9,2.2,15.3,42,15.3,13.9
2024-08-11T05:50:00+0900,,,,,,65.5,4,2.2,15.2,78,15.4,13.9
2024-08-11T05:40:00+0900,,,,,,65.5,3.9,2.2,15.3,120,15.5,13.9
2024-08-11T05:30:00+0900,,,,,,65.5,3.9,2.2,15.3,150,15.6,13.9
2024-08-11T05:20:00+0900,,,,,,65.5,4,2.1,15.2,38,15.8,13.8
2024-08-11T05:10:00+0900,,,,,,65.5,3.9,2,15.3,256,15.9,13.8
2024-08-11T05:00:00+0900,,,,,,65.5,3.9,2.1,15.3,296,15.9,13.8
2024-08-11T04:50:00+0900,,,,,,65.5,3.9,2.1,15.4,52,16,13.8
2024-08-11T04:40:00+0900,,,,,,65.5,3.9,2,15.4,350,16.1,13.7
2024-08-11T04:30:00+0900,,,,,,65.5,3.9,2.1,15.4,430,16.1,13.6
2024-08-11T04:20:00+0900,,,,,,65.5,3.8,2,15.5,76,16.1,13.6
2024-08-11T04:10:00+0900,,,,,,65.5,3.8,2,15.5,516,16.1,13.6
2024-08-11T04:00:00+0900,,,,,,65.5,3.9,2.1,15.4,110,16.1,13.6
2024-08-11T03:50:00+0900,,,,,,65.5,3.9,2,15.5,546,16.1,13.6
2024-08-11T03:40:00+0900,,,,,,65.5,3.8,2,15.5,588,15.9,13.5
2024-08-11T03:30:00+0900,,,,,,65.5,3.9,2,15.4,618,15.9,13.5
2024-08-11T03:20:00+0900,,,,,,65.5,3.8,2,15.5,688,15.8,13.4
2024-08-11T03:10:00+0900,,,,,,65.5,3.8,2,15.6,296,15.8,13.4
2024-08-11T03:00:00+0900,,,,,,65.5,3.9,2.1,15.5,170,15.6,13.4
2024-08-11T02:50:00+0900,,,,,,65.5,3.8,2.1,15.6,822,15.4,13.4
2024-08-11T02:40:00+0900,,,,,,65.5,3.8,2.2,15.7,188,15.3,13.4
2024-08-11T02:30:00+0900,,,,,,65.5,3.8,2.2,15.6,840,15.1,13.4
2024-08-11T02:20:00+0900,,,,,,65.5,3.7,2.3,15.7,924,14.9,13.3
2024-08-11T02:10:00+0900,,,,,,65.5,3.8,2.4,15.6,394,14.7,13.3
2024-08-11T02:00:00+0900,,,,,,65.5,3.8,2.5,15.5,872,14.5,13.3
2024-08-11T01:50:00+0900,,,,,,65.5,3.7,2.4,15.7,852,14.4,13.3
2024-08-11T01:40:00+0900,,,,,,65.5,3.8,2.4,15.6,898,14.2,13.3
2024-08-11T01:30:00+0900,,,,,,65.5,3.8,2.6,15.6,474,14,13.3
2024-08-11T01:20:00+0900,,,,,,65.5,3.7,2.6,15.8,942,13.9,13.3
2024-08-11T01:10:00+0900,,,,,,65.5,3.8,2.8,15.7,292,13.7,13.3
2024-08-11T01:00:00+0900,,,,,,65.5,3.8,2.8,15.6,546,13.6,13.2
2024-08-11T00:50:00+0900,,,,,,65.5,3.8,2.8,15.7,474,13.4,13.2
2024-08-11T00:40:00+0900,,,,,,65.5,3.8,2.9,15.7,298,13.2,13.2
2024-08-11T00:30:00+0900,,,,,,65.5,3.8,3,15.7,308,12.9,13.2
2024-08-11T00:20:00+0900,,,,,,65.5,3.8,3,15.7,234,12.6,13.2
2024-08-11T00:10:00+0900,,,,,,65.5,3.8,3.1,15.7,938,12.4,13.2
2024-08-11T00:00:00+0900,,,,,,65.5,3.7,3.1,15.8,968,12.3,13.2
2024-08-10T23:50:00+0900,,,,,,65.5,3.7,3.2,15.9,928,12.1,13.2
2024-08-10T23:40:00+0900,,,,,,65.5,3.7,3.1,15.8,866,11.9,13.2
2024-08-10T23:30:00+0900,,,,,,65.5,3.7,3.3,15.8,182,11.8,13.2
2024-08-10T23:20:00+0900,,,,,,65.5,3.8,3.3,15.7,136,11.5,13.2
2024-08-10T23:10:00+0900,,,,,,62.1,3.8,3.4,15.7,772,11.3,13.3
2024-08-10T23:00:00+0900,,,,,,60.2,3.7,3.5,15.7,838,11.1,13.3
2024-08-10T22:50:00+0900,,,,,,56,3.7,3.6,15.8,162,10.8,13.3
2024-08-10T22:40:00+0900,,,,,,62.1,3.7,3.4,15.9,262,10.6,13.3
2024-08-10T22:30:00+0900,,,,,,60.4,3.8,3.5,15.7,782,10.4,13.3
2024-08-10T22:20:00+0900,,,,,,59.1,3.8,3.5,15.7,326,10.2,13.3
2024-08-10T22:10:00+0900,,,,,,60.6,3.8,3.5,15.8,386,10,13.3
2024-08-10T22:00:00+0900,,,,,,55.7,3.8,3.6,15.7,148,9.8,13.3
2024-08-10T21:50:00+0900,,,,,,53.2,3.7,3.7,15.8,504,9.6,13.4
2024-08-10T21:40:00+0900,,,,,,53.5,3.7,3.7,15.8,490,9.5,13.4
2024-08-10T21:30:00+0900,,,,,,52.9,3.8,3.7,15.7,146,9.4,13.4
2024-08-10T21:20:00+0900,,,,,,53.3,3.8,3.7,15.8,428,9.3,13.4
2024-08-10T21:10:00+0900,,,,,,53.4,3.7,3.7,15.8,340,9.1,13.4
2024-08-10T21:00:00+0900,,,,,,50.2,3.7,3.8,15.8,308,9.1,13.4
2024-08-10T20:50:00+0900,,,,,,53.1,3.8,3.7,15.7,278,9.1,13.5
2024-08-10T20:40:00+0900,,,,,,53,3.7,3.7,15.8,244,9,13.5
2024-08-10T20:30:00+0900,,,,,,52.7,3.8,3.7,15.8,214,9.1,13.5
2024-08-10T20:20:00+0900,,,,,,51,3.8,3.7,15.8,186,9.1,13.5
2024-08-10T20:10:00+0900,,,,,,50.3,3.8,3.8,15.7,156,9.1,13.6
2024-08-10T20:00:00+0900,,,,,,50.4,3.8,3.8,15.7,128,9.2,13.6
2024-08-10T19:50:00+0900,,,,,,50.2,3.7,3.8,15.8,100,9.3,13.6
2024-08-10T19:40:00+0900,,,,,,55.9,3.8,3.6,15.7,74,9.3,13.6
2024-08-10T19:30:00+0900,,,,,,50.2,3.8,3.8,15.8,48,9.4,13.6
2024-08-10T19:20:00+0900,,,,,,55.7,3.8,3.6,15.7,22,9.4,13.6
2024-08-10T19:10:00+0900,,,,,,52.7,3.7,3.7,15.8,4,9.5,13.6
2024-08-10T19:00:00+0900,,,,,,50.3,3.8,3.8,15.8,0,9.6,13.6
2024-08-10T18:50:00+0900,,,,,,53.1,3.7,3.7,15.8,0,9.7,13.6
2024-08-10T18:40:00+0900,,,,,,52.8,3.7,3.7,15.8,0,9.8,13.7
2024-08-10T18:30:00+0900,,,,,,53.1,3.8,3.7,15.7,0,9.8,13.7
2024-08-10T18:20:00+0900,,,,,,53,3.7,3.7,15.8,0,9.9,13.7
2024-08-10T18:10:00+0900,,,,,,55.9,3.8,3.6,15.7,0,9.9,13.7
2024-08-10T18:00:00+0900,,,,,,54.5,3.8,3.6,15.7,0,10,13.7
2024-08-10T17:50:00+0900,,,,,,55.8,3.8,3.6,15.8,0,10.1,13.7
2024-08-10T17:40:00+0900,,,,,,53,3.8,3.7,15.7,0,10.1,13.8
2024-08-10T17:30:00+0900,,,,,,57,3.7,3.6,15.8,0,10.2,13.8
2024-08-10T17:20:00+0900,,,,,,56.1,3.7,3.6,15.8,0,10.3,13.8
2024-08-10T17:10:00+0900,,,,,,57.2,3.8,3.6,15.8,0,10.3,13.8
2024-08-10T17:00:00+0900,,,,,,56.1,3.8,3.6,15.8,0,10.4,13.8
2024-08-10T16:50:00+0900,,,,,,55.6,3.8,3.6,15.6,0,10.4,13.8
2024-08-10T16:40:00+0900,,,,,,56.8,3.8,3.6,15.7,0,10.6,13.8
2024-08-10T16:30:00+0900,,,,,,53.9,3.8,3.6,15.6,0,10.6,13.8
2024-08-10T16:20:00+0900,,,,,,54.1,3.8,3.6,15.7,0,10.6,13.8
2024-08-10T16:10:00+0900,,,,,,59.1,3.8,3.5,15.6,0,10.7,13.8
2024-08-10T16:00:00+0900,,,,,,58.9,3.8,3.5,15.7,0,10.7,13.8
2024-08-10T15:50:00+0900,,,,,,53.4,3.8,3.7,15.7,0,10.8,13.9
2024-08-10T15:40:00+0900,,,,,,59.4,3.8,3.5,15.6,0,10.8,13.9
2024-08-10T15:30:00+0900,,,,,,52.9,3.7,3.7,15.8,0,10.8,13.9
2024-08-10T15:20:00+0900,,,,,,53.9,3.8,3.7,15.8,0,10.8,13.9
2024-08-10T15:10:00+0900,,,,,,49.9,3.8,3.8,15.7,0,10.8,13.9
2024-08-10T15:00:00+0900,,,,,,50.6,3.8,3.8,15.8,0,10.8,13.9
2024-08-10T14:50:00+0900,,,,,,53.4,3.8,3.7,15.7,0,10.8,13.9
2024-08-10T14:40:00+0900,,,,,,51.1,3.8,3.8,15.7,0,10.8,13.9
2024-08-10T14:30:00+0900,,,,,,56.2,3.8,3.6,15.6,0,10.8,13.9
2024-08-10T14:20:00+0900,,,,,,53.1,3.8,3.7,15.6,0,10.9,13.9
2024-08-10T14:10:00+0900,,,,,,53.1,3.9,3.7,15.6,0,10.9,13.9
2024-08-10T14:00:00+0900,,,,,,56.1,3.8,3.6,15.7,0,10.9,13.9
2024-08-10T13:50:00+0900,,,,,,53.1,3.9,3.7,15.6,0,10.9,13.9
2024-08-10T13:40:00+0900,,,,,,53.4,3.8,3.7,15.7,0,10.9,14
2024-08-10T13:30:00+0900,,,,,,53.4,3.8,3.7,15.7,0,10.9,14
2024-08-10T13:20:00+0900,,,,,,56.1,3.9,3.6,15.6,0,10.9,14
2024-08-10T13:10:00+0900,,,,,,52.6,3.9,3.7,15.6,0,10.9,14
2024-08-10T13:00:00+0900,,,,,,54,3.9,3.7,15.6,0,10.9,14
2024-08-10T12:50:00+0900,,,,,,56.1,3.8,3.6,15.7,0,10.9,14
2024-08-10T12:40:00+0900,,,,,,56.6,3.8,3.6,15.7,0,10.9,14.1
2024-08-10T12:30:00+0900,,,,,,56.2,3.8,3.6,15.7,0,11,14
2024-08-10T12:20:00+0900,,,,,,59.3,3.8,3.5,15.7,0,11,14.1
2024-08-10T12:10:00+0900,,,,,,57.6,3.8,3.6,15.7,0,11,14.1
2024-08-10T12:00:00+0900,,,,,,56.8,3.8,3.6,15.7,0,11,14.1
2024-08-10T11:50:00+0900,,,,,,53.5,3.9,3.7,15.6,0,11.1,14.1
2024-08-10T11:40:00+0900,,,,,,53.3,3.8,3.7,15.7,0,11.1,14.1
2024-08-10T11:30:00+0900,,,,,,53.8,3.8,3.7,15.7,0,11.1,14.1
2024-08-10T11:20:00+0900,,,,,,53.6,3.8,3.7,15.7,0,11.1,14.1
2024-08-10T11:10:00+0900,,,,,,56.7,3.8,3.6,15.7,0,11.1,14.1
2024-08-10T11:00:00+0900,,,,,,56.6,3.9,3.6,15.6,0,11.1,14.1
2024-08-10T10:50:00+0900,,,,,,56.4,3.8,3.6,15.7,0,11.1,14.1
2024-08-10T10:40:00+0900,,,,,,56.9,3.8,3.6,15.7,0,11.1,14.1
2024-08-10T10:30:00+0900,,,,,,53.5,3.9,3.7,15.6,0,11.2,14.1
2024-08-10T10:20:00+0900,,,,,,58,3.9,3.6,15.6,0,11.2,14.2
2024-08-10T10:10:00+0900,,,,,,59.4,3.9,3.5,15.6,0,11.3,14.2
2024-08-10T10:00:00+0900,,,,,,61.6,3.9,3.5,15.6,0,11.3,14.2
2024-08-10T09:50:00+0900,,,,,,59.8,3.8,3.5,15.8,0,11.3,14.2
2024-08-10T09:40:00+0900,,,,,,60.8,3.9,3.5,15.6,0,11.3,14.2
2024-08-10T09:30:00+0900,,,,,,56.4,3.8,3.6,15.7,0,11.3,14.2
2024-08-10T09:20:00+0900,,,,,,56.9,3.8,3.6,15.7,0,11.4,14.2
2024-08-10T09:10:00+0900,,,,,,59.9,3.9,3.5,15.6,0,11.4,14.2
2024-08-10T09:00:00+0900,,,,,,60.8,3.9,3.5,15.6,0,11.4,14.3
2024-08-10T08:50:00+0900,,,,,,56.8,3.9,3.6,15.6,0,11.4,14.3
2024-08-10T08:40:00+0900,,,,,,60.6,3.8,3.5,15.7,0,11.5,14.3
2024-08-10T08:30:00+0900,,,,,,59.9,3.9,3.5,15.6,0,11.5,14.3
2024-08-10T08:20:00+0900,,,,,,60.1,3.9,3.5,15.7,0,11.6,14.3
2024-08-10T08:10:00+0900,,,,,,60.7,3.9,3.5,15.6,0,11.6,14.3
2024-08-10T08:00:00+0900,,,,,,55.4,3.8,3.5,15.7,0,11.6,14.3
2024-08-10T07:50:00+0900,,,,,,65.5,3.9,3.3,15.6,0,11.6,14.3
2024-08-10T07:40:00+0900,,,,,,60.1,3.9,3.5,15.6,0,11.7,14.3
2024-08-10T07:30:00+0900,,,,,,63.6,3.9,3.4,15.7,0,11.8,14.3
2024-08-10T07:20:00+0900,,,,,,64.2,3.8,3.4,15.7,0,11.8,14.3
2024-08-10T07:10:00+0900,,,,,,65.5,3.8,3.3,15.8,0,11.8,14.3
2024-08-10T07:00:00+0900,,,,,,63.7,3.9,3.4,15.7,0,11.9,14.3
2024-08-10T06:50:00+0900,,,,,,64.1,3.9,3.4,15.7,0,11.9,14.3
2024-08-10T06:40:00+0900,,,,,,64.4,3.9,3.4,15.7,0,11.9,14.3
2024-08-10T06:30:00+0900,,,,,,64,3.9,3.4,15.7,0,12,14.3
2024-08-10T06:20:00+0900,,,,,,60.4,3.8,3.5,15.8,0,12.1,14.3
2024-08-10T06:10:00+0900,,,,,,65.5,3.8,3.3,15.8,0,12.1,14.3
2024-08-10T06:00:00+0900,,,,,,65.5,3.8,3.3,15.8,4,12.1,14.3
2024-08-10T05:50:00+0900,,,,,,65.5,3.8,3.3,15.8,6,12.1,14.3
2024-08-10T05:40:00+0900,,,,,,65.5,3.8,3.3,15.9,10,12.2,14.3
2024-08-10T05:30:00+0900,,,,,,62.7,3.8,3.3,15.8,14,12.2,14.3
2024-08-10T05:20:00+0900,,,,,,65.5,3.9,3.3,15.7,30,12.3,14.3
2024-08-10T05:10:00+0900,,,,,,65.5,3.9,3.3,15.7,38,12.3,14.3
2024-08-10T05:00:00+0900,,,,,,65.5,3.8,3.2,15.8,30,12.3,14.3
2024-08-10T04:50:00+0900,,,,,,65.5,3.8,3.3,15.8,36,12.3,14.3
2024-08-10T04:40:00+0900,,,,,,65.5,3.9,3.3,15.7,54,12.4,14.3
2024-08-10T04:30:00+0900,,,,,,65.5,3.9,3.2,15.7,38,12.4,14.3
2024-08-10T04:20:00+0900,,,,,,65.5,3.8,3.2,15.8,62,12.4,14.3
2024-08-10T04:10:00+0900,,,,,,65.5,3.9,3.2,15.7,70,12.4,14.3
2024-08-10T04:00:00+0900,,,,,,65.5,3.8,3.2,15.9,64,12.4,14.3
2024-08-10T03:50:00+0900,,,,,,65.5,3.9,3.2,15.7,80,12.3,14.3
2024-08-10T03:40:00+0900,,,,,,65.5,3.9,3.3,15.7,88,12.3,14.3
2024-08-10T03:30:00+0900,,,,,,65.5,3.8,3.3,15.8,188,12.3,14.3
2024-08-10T03:20:00+0900,,,,,,65.5,3.8,3.2,15.8,214,12.3,14.3
2024-08-10T03:10:00+0900,,,,,,65.5,3.8,3.4,15.8,110,12.3,14.3
2024-08-10T03:00:00+0900,,,,,,65.5,3.8,3.4,15.9,132,12.2,14.3
